host,l3_cache_misses,flops,instructions
compute-0-0.local,5366017,2002226528,33073987289
compute-0-1.local,5678066,2003073334,33073987838
compute-0-2.local,5328895,2002995277,33073987313
compute-0-3.local,4260167,2002921687,33073987266
compute-0-4.local,5339415,2002248383,33073987290
compute-0-5.local,5338447,2002278852,33073987284
compute-0-7.local,5281872,2002917592,33073987310
compute-0-8.local,5174189,2003000856,33073987337
compute-0-8.local,5527467,2002254118,33073987332
compute-0-9.local,5765099,2002974628,33073987367
