host,l2_data_cache_misses,flops,instructions
compute-0-0.local,247343577,2007636067,33073992529
compute-0-1.local,198451499,2005369253,33073988880
compute-0-1.local,246925839,2004916107,33073989052
compute-0-2.local,217514011,2005463084,33073988940
compute-0-5.local,221126604,2007500382,33073992482
compute-0-6.local,282752381,2004950462,33073989134
compute-0-7.local,308986582,2004938915,33073989113
compute-0-9.local,207060775,2007283871,33073989206
compute-0-9.local,220119372,2005551652,33073989127
compute-0-9.local,242368607,2005456802,33073989249
