host,l3_cache_misses,flops,instructions
compute-0-0.local,23552310,2006732564,33073992325
compute-0-1.local,15057050,2005263565,33073989022
compute-0-2.local,25044014,2007044985,33073992458
compute-0-3.local,14136625,2005319250,33073989008
compute-0-3.local,16348467,2006623896,33073988802
compute-0-5.local,17910968,2006887724,33073988795
compute-0-6.local,18309773,2006912908,33073989143
compute-0-6.local,21645323,2006613810,33073992559
compute-0-7.local,18873257,2005298686,33073989149
compute-0-8.local,24027023,2008809433,33073992592
