host,Real_time,Proc_time,Total_flpins,MFLOPS
compute-0-0.local,11.086303,11.060439,2000306880,180.852402
compute-0-1.local,11.144365,11.135186,2000525211,179.657990
compute-0-2.local,11.109171,11.083703,2000449652,180.485672
compute-0-2.local,11.177109,11.151365,2001101522,179.449020
compute-0-4.local,11.181869,11.172900,2001144338,179.106979
compute-0-5.local,11.173346,11.146620,2001155989,179.530289
compute-0-6.local,11.105769,11.080009,2000310428,180.533279
compute-0-7.local,11.191671,11.182329,2001156712,178.957062
compute-0-8.local,11.201117,11.192089,2000388215,178.732330
compute-0-9.local,11.211710,11.184454,2001146996,178.922195
