host,Real_time,Proc_time,Total_flpins,MFLOPS
compute-0-0.local,15.989087,15.952642,2005237273,125.699379
compute-0-1.local,12.904942,12.894830,2002888637,155.324936
compute-0-3.local,13.104773,13.094281,2003821725,153.030289
compute-0-3.local,15.979366,15.967595,2005076636,125.571609
compute-0-4.local,15.863821,15.851385,2005022654,126.488792
compute-0-5.local,12.886873,12.856680,2002693066,155.770630
compute-0-6.local,12.896558,12.866280,2002751814,155.658966
compute-0-7.local,12.867961,12.858011,2002615980,155.748505
compute-0-8.local,13.172380,13.162561,2003174048,152.187256
compute-0-9.local,13.013189,12.982540,2002745747,154.264557
